BUILDINGUUID,BUILDINGNAMEENG,BUILDINGNAMECHN,BUILDINGCITY,LATITUDE,LONGITUDE,ADDRESSCHN,DISTRICTNAME,BUILDINGOPENDATE,AMENITIES
900d818a-9a8c-4dfe-8a76-9574324f7acf,Shang Lidu,将台路甲2号,Beijing,39.97565,116.474473173,北京市朝阳区将台路甲2号院2号楼7层 (诺金中心),朝阳区,2018-12-28,"[
  {
    ""description"": ""With years of operational expertise and service-focused backgrounds, our workplace team is here 9am-5pm, Mon-Fri, to provide everything you need to keep your office running smoothly."",
    ""highlight"": false,
    ""id"": ""d90ae328-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Onsite staff""
  },
  {
    ""description"": ""Around the clock, our cleaning crew helps keep common areas, meeting rooms, and private offices looking their spiffiest."",
    ""highlight"": false,
    ""id"": ""d90202c6-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Cleaning services""
  },
  {
    ""description"": ""These semi-private alcoves provide comfortable sanctuaries on every floor for conducting private calls and video chats."",
    ""highlight"": false,
    ""id"": ""d9109cd2-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Phone booths""
  },
  {
    ""description"": ""Every floor has its own space stocked with a business-class printer, office supplies, and paper shredder."",
    ""highlight"": false,
    ""id"": ""d91e6fb0-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Business-class printers""
  },
  {
    ""description"": ""Hook yourself up to hard-wired Ethernet or secure Wi-Fi, including IT support and guest log-in functionality."",
    ""highlight"": false,
    ""id"": ""d9083c72-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""High-speed Wi-Fi""
  },
  {
    ""description"": ""From workshops to thought-leader panels and cheese tastings, our programming helps you nurture a strong team culture."",
    ""highlight"": false,
    ""id"": ""d8fd5b04-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Professional & social events""
  },
  {
    ""description"": ""The heart-and-soul of our locations, these lounges are living-room-style spaces designed for creativity, comfort, and productivity."",
    ""highlight"": false,
    ""id"": ""d90ca258-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Unique common areas""
  },
  {
    ""description"": ""With a projector, sound system, and lighting controls, lounges are easily converted for members’ meetups."",
    ""highlight"": true,
    ""id"": ""c69627de-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Event space""
  },
  {
    ""description"": ""From brainstorming rooms with whiteboards and high-top tables to conversation rooms for informal meetings to presentation rooms with projectors and speakers, to specialty rooms, we've got you covered."",
    ""highlight"": false,
    ""id"": ""07baafaa-fa62-11e9-b98c-126755c38a10"",
    ""name"": ""Meeting rooms""
  },
  {
    ""description"": ""Stay caffeinated with free micro-roasted coffee, tea, and keep your hydration up with refreshing fruit water at every WeWork location."",
    ""highlight"": false,
    ""id"": ""a860e146-fa5c-11e9-9a05-126755c38a10"",
    ""name"": ""Complimentary refreshments""
  }
]"
c6b13f1a-63a8-408e-bc67-2a66438c99ff,World Trade Tower,世界贸易大厦,Shanghai,31.234522059,121.477398631,上海市黄浦区广东路500号世界贸易大厦5层,黄浦区,2019-01-01,"[
  {
    ""description"": ""With years of operational expertise and service-focused backgrounds, our workplace team is here 9am-5pm, Mon-Fri, to provide everything you need to keep your office running smoothly."",
    ""highlight"": false,
    ""id"": ""d90ae328-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Onsite staff""
  },
  {
    ""description"": ""Around the clock, our cleaning crew helps keep common areas, meeting rooms, and private offices looking their spiffiest."",
    ""highlight"": false,
    ""id"": ""d90202c6-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Cleaning services""
  },
  {
    ""description"": ""These semi-private alcoves provide comfortable sanctuaries on every floor for conducting private calls and video chats."",
    ""highlight"": false,
    ""id"": ""d9109cd2-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Phone booths""
  },
  {
    ""description"": ""Every floor has its own space stocked with a business-class printer, office supplies, and paper shredder."",
    ""highlight"": false,
    ""id"": ""d91e6fb0-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Business-class printers""
  },
  {
    ""description"": ""Hook yourself up to hard-wired Ethernet or secure Wi-Fi, including IT support and guest log-in functionality."",
    ""highlight"": false,
    ""id"": ""d9083c72-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""High-speed Wi-Fi""
  },
  {
    ""description"": ""From workshops to thought-leader panels and cheese tastings, our programming helps you nurture a strong team culture."",
    ""highlight"": false,
    ""id"": ""d8fd5b04-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Professional & social events""
  },
  {
    ""description"": ""The heart-and-soul of our locations, these lounges are living-room-style spaces designed for creativity, comfort, and productivity."",
    ""highlight"": false,
    ""id"": ""d90ca258-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Unique common areas""
  },
  {
    ""description"": ""From brainstorming rooms with whiteboards and high-top tables to conversation rooms for informal meetings to presentation rooms with projectors and speakers, to specialty rooms, we've got you covered."",
    ""highlight"": false,
    ""id"": ""07baafaa-fa62-11e9-b98c-126755c38a10"",
    ""name"": ""Meeting rooms""
  },
  {
    ""description"": ""Stay caffeinated with free micro-roasted coffee, tea, and keep your hydration up with refreshing fruit water at every WeWork location."",
    ""highlight"": false,
    ""id"": ""a860e146-fa5c-11e9-9a05-126755c38a10"",
    ""name"": ""Complimentary refreshments""
  }
]"
a62166df-0e69-4ad6-b66e-4c3055df94b6,Yuexiu Financial Building,越秀金融大厦,Guangzhou,23.12397798,113.3261322,广东省广州市天河区珠江东路28号,天河区,2019-09-01,"[
  {
    ""description"": ""With years of operational expertise and service-focused backgrounds, our workplace team is here 9am-5pm, Mon-Fri, to provide everything you need to keep your office running smoothly."",
    ""highlight"": false,
    ""id"": ""d90ae328-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Onsite staff""
  },
  {
    ""description"": ""Around the clock, our cleaning crew helps keep common areas, meeting rooms, and private offices looking their spiffiest."",
    ""highlight"": false,
    ""id"": ""d90202c6-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Cleaning services""
  },
  {
    ""description"": ""These semi-private alcoves provide comfortable sanctuaries on every floor for conducting private calls and video chats."",
    ""highlight"": false,
    ""id"": ""d9109cd2-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Phone booths""
  },
  {
    ""description"": ""Every floor has its own space stocked with a business-class printer, office supplies, and paper shredder."",
    ""highlight"": false,
    ""id"": ""d91e6fb0-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Business-class printers""
  },
  {
    ""description"": ""Hook yourself up to hard-wired Ethernet or secure Wi-Fi, including IT support and guest log-in functionality."",
    ""highlight"": false,
    ""id"": ""d9083c72-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""High-speed Wi-Fi""
  },
  {
    ""description"": ""From workshops to thought-leader panels and cheese tastings, our programming helps you nurture a strong team culture."",
    ""highlight"": false,
    ""id"": ""d8fd5b04-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Professional & social events""
  },
  {
    ""description"": ""The heart-and-soul of our locations, these lounges are living-room-style spaces designed for creativity, comfort, and productivity."",
    ""highlight"": false,
    ""id"": ""d90ca258-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Unique common areas""
  },
  {
    ""description"": ""From brainstorming rooms with whiteboards and high-top tables to conversation rooms for informal meetings to presentation rooms with projectors and speakers, to specialty rooms, we've got you covered."",
    ""highlight"": false,
    ""id"": ""07baafaa-fa62-11e9-b98c-126755c38a10"",
    ""name"": ""Meeting rooms""
  },
  {
    ""description"": ""Stay caffeinated with free micro-roasted coffee, tea, and keep your hydration up with refreshing fruit water at every WeWork location."",
    ""highlight"": false,
    ""id"": ""a860e146-fa5c-11e9-9a05-126755c38a10"",
    ""name"": ""Complimentary refreshments""
  }
]"
df7e94c9-956f-4657-bc27-79f91d221cab,Baifu International Building,百富国际大厦,Beijing,39.92297,116.44488,北京市朝阳区工体东路18号百富国际大厦B座3层,朝阳区,2018-09-01,"[
  {
    ""description"": ""With years of operational expertise and service-focused backgrounds, our workplace team is here 9am-5pm, Mon-Fri, to provide everything you need to keep your office running smoothly."",
    ""highlight"": false,
    ""id"": ""d90ae328-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Onsite staff""
  },
  {
    ""description"": ""Around the clock, our cleaning crew helps keep common areas, meeting rooms, and private offices looking their spiffiest."",
    ""highlight"": false,
    ""id"": ""d90202c6-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Cleaning services""
  },
  {
    ""description"": ""These semi-private alcoves provide comfortable sanctuaries on every floor for conducting private calls and video chats."",
    ""highlight"": false,
    ""id"": ""d9109cd2-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Phone booths""
  },
  {
    ""description"": ""Every floor has its own space stocked with a business-class printer, office supplies, and paper shredder."",
    ""highlight"": false,
    ""id"": ""d91e6fb0-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Business-class printers""
  },
  {
    ""description"": ""Hook yourself up to hard-wired Ethernet or secure Wi-Fi, including IT support and guest log-in functionality."",
    ""highlight"": false,
    ""id"": ""d9083c72-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""High-speed Wi-Fi""
  },
  {
    ""description"": ""From workshops to thought-leader panels and cheese tastings, our programming helps you nurture a strong team culture."",
    ""highlight"": false,
    ""id"": ""d8fd5b04-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Professional & social events""
  },
  {
    ""description"": ""The heart-and-soul of our locations, these lounges are living-room-style spaces designed for creativity, comfort, and productivity."",
    ""highlight"": false,
    ""id"": ""d90ca258-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Unique common areas""
  },
  {
    ""description"": ""From brainstorming rooms with whiteboards and high-top tables to conversation rooms for informal meetings to presentation rooms with projectors and speakers, to specialty rooms, we've got you covered."",
    ""highlight"": false,
    ""id"": ""07baafaa-fa62-11e9-b98c-126755c38a10"",
    ""name"": ""Meeting rooms""
  },
  {
    ""description"": ""Stay caffeinated with free micro-roasted coffee, tea, and keep your hydration up with refreshing fruit water at every WeWork location."",
    ""highlight"": false,
    ""id"": ""a860e146-fa5c-11e9-9a05-126755c38a10"",
    ""name"": ""Complimentary refreshments""
  }
]"
8e419c21-eff7-4843-bfc9-77d397738162,Taohui Xintian,淘汇新天,Beijing,39.9145,116.404489313,北京市东城区王府井大街219号淘汇新天7层,东城区,2018-11-01,"[
  {
    ""description"": ""With years of operational expertise and service-focused backgrounds, our workplace team is here 9am-5pm, Mon-Fri, to provide everything you need to keep your office running smoothly."",
    ""highlight"": false,
    ""id"": ""d90ae328-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Onsite staff""
  },
  {
    ""description"": ""Around the clock, our cleaning crew helps keep common areas, meeting rooms, and private offices looking their spiffiest."",
    ""highlight"": false,
    ""id"": ""d90202c6-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Cleaning services""
  },
  {
    ""description"": ""These semi-private alcoves provide comfortable sanctuaries on every floor for conducting private calls and video chats."",
    ""highlight"": false,
    ""id"": ""d9109cd2-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Phone booths""
  },
  {
    ""description"": ""Every floor has its own space stocked with a business-class printer, office supplies, and paper shredder."",
    ""highlight"": false,
    ""id"": ""d91e6fb0-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Business-class printers""
  },
  {
    ""description"": ""Hook yourself up to hard-wired Ethernet or secure Wi-Fi, including IT support and guest log-in functionality."",
    ""highlight"": false,
    ""id"": ""d9083c72-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""High-speed Wi-Fi""
  },
  {
    ""description"": ""From workshops to thought-leader panels and cheese tastings, our programming helps you nurture a strong team culture."",
    ""highlight"": false,
    ""id"": ""d8fd5b04-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Professional & social events""
  },
  {
    ""description"": ""The heart-and-soul of our locations, these lounges are living-room-style spaces designed for creativity, comfort, and productivity."",
    ""highlight"": false,
    ""id"": ""d90ca258-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Unique common areas""
  },
  {
    ""description"": ""From brainstorming rooms with whiteboards and high-top tables to conversation rooms for informal meetings to presentation rooms with projectors and speakers, to specialty rooms, we've got you covered."",
    ""highlight"": false,
    ""id"": ""07baafaa-fa62-11e9-b98c-126755c38a10"",
    ""name"": ""Meeting rooms""
  },
  {
    ""description"": ""Stay caffeinated with free micro-roasted coffee, tea, and keep your hydration up with refreshing fruit water at every WeWork location."",
    ""highlight"": false,
    ""id"": ""a860e146-fa5c-11e9-9a05-126755c38a10"",
    ""name"": ""Complimentary refreshments""
  }
]"
968ab74d-e7e8-4419-8287-a5b4bfe7a876,H Code,H Code,Hong Kong,22.28252,114.154535,香港中环砵甸乍街45号H Code 6层,中环,2019-12-31,"[
  {
    ""description"": ""With years of operational expertise and service-focused backgrounds, our workplace team is here 9am-5pm, Mon-Fri, to provide everything you need to keep your office running smoothly."",
    ""highlight"": false,
    ""id"": ""d90ae328-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Onsite staff""
  },
  {
    ""description"": ""Around the clock, our cleaning crew helps keep common areas, meeting rooms, and private offices looking their spiffiest."",
    ""highlight"": false,
    ""id"": ""d90202c6-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Cleaning services""
  },
  {
    ""description"": ""These semi-private alcoves provide comfortable sanctuaries on every floor for conducting private calls and video chats."",
    ""highlight"": false,
    ""id"": ""d9109cd2-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Phone booths""
  },
  {
    ""description"": ""Every floor has its own space stocked with a business-class printer, office supplies, and paper shredder."",
    ""highlight"": false,
    ""id"": ""d91e6fb0-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Business-class printers""
  },
  {
    ""description"": ""Hook yourself up to hard-wired Ethernet or secure Wi-Fi, including IT support and guest log-in functionality."",
    ""highlight"": false,
    ""id"": ""d9083c72-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""High-speed Wi-Fi""
  },
  {
    ""description"": ""From workshops to thought-leader panels and cheese tastings, our programming helps you nurture a strong team culture."",
    ""highlight"": false,
    ""id"": ""d8fd5b04-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Professional & social events""
  },
  {
    ""description"": ""The heart-and-soul of our locations, these lounges are living-room-style spaces designed for creativity, comfort, and productivity."",
    ""highlight"": false,
    ""id"": ""d90ca258-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Unique common areas""
  },
  {
    ""description"": ""Whether you’re a nursing mother, need to pray, or looking to meditate, you can rely on this lockable, serene room."",
    ""highlight"": true,
    ""id"": ""3dc30a10-341e-11e6-a998-0a488af3e541"",
    ""name"": ""Wellness room""
  },
  {
    ""description"": ""From brainstorming rooms with whiteboards and high-top tables to conversation rooms for informal meetings to presentation rooms with projectors and speakers, to specialty rooms, we've got you covered."",
    ""highlight"": false,
    ""id"": ""07baafaa-fa62-11e9-b98c-126755c38a10"",
    ""name"": ""Meeting rooms""
  },
  {
    ""description"": ""Stay caffeinated with free micro-roasted coffee, tea, and keep your hydration up with refreshing fruit water at every WeWork location."",
    ""highlight"": false,
    ""id"": ""a860e146-fa5c-11e9-9a05-126755c38a10"",
    ""name"": ""Complimentary refreshments""
  }
]"
db77ad55-09f4-46aa-9050-6f5a84ca0e49,363 Changping Lu,昌平大厦,Shanghai,31.23846,121.4443,上海市静安区昌平路363号昌平大厦6层,静安区,2018-10-01,"[
  {
    ""description"": ""With years of operational expertise and service-focused backgrounds, our workplace team is here 9am-5pm, Mon-Fri, to provide everything you need to keep your office running smoothly."",
    ""highlight"": false,
    ""id"": ""d90ae328-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Onsite staff""
  },
  {
    ""description"": ""Around the clock, our cleaning crew helps keep common areas, meeting rooms, and private offices looking their spiffiest."",
    ""highlight"": false,
    ""id"": ""d90202c6-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Cleaning services""
  },
  {
    ""description"": ""These semi-private alcoves provide comfortable sanctuaries on every floor for conducting private calls and video chats."",
    ""highlight"": false,
    ""id"": ""d9109cd2-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Phone booths""
  },
  {
    ""description"": ""Every floor has its own space stocked with a business-class printer, office supplies, and paper shredder."",
    ""highlight"": false,
    ""id"": ""d91e6fb0-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Business-class printers""
  },
  {
    ""description"": ""Hook yourself up to hard-wired Ethernet or secure Wi-Fi, including IT support and guest log-in functionality."",
    ""highlight"": false,
    ""id"": ""d9083c72-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""High-speed Wi-Fi""
  },
  {
    ""description"": ""From workshops to thought-leader panels and cheese tastings, our programming helps you nurture a strong team culture."",
    ""highlight"": false,
    ""id"": ""d8fd5b04-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Professional & social events""
  },
  {
    ""description"": ""The heart-and-soul of our locations, these lounges are living-room-style spaces designed for creativity, comfort, and productivity."",
    ""highlight"": false,
    ""id"": ""d90ca258-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Unique common areas""
  },
  {
    ""description"": ""From brainstorming rooms with whiteboards and high-top tables to conversation rooms for informal meetings to presentation rooms with projectors and speakers, to specialty rooms, we've got you covered."",
    ""highlight"": false,
    ""id"": ""07baafaa-fa62-11e9-b98c-126755c38a10"",
    ""name"": ""Meeting rooms""
  },
  {
    ""description"": ""Stay caffeinated with free micro-roasted coffee, tea, and keep your hydration up with refreshing fruit water at every WeWork location."",
    ""highlight"": false,
    ""id"": ""a860e146-fa5c-11e9-9a05-126755c38a10"",
    ""name"": ""Complimentary refreshments""
  }
]"
6e5e02c9-5dc2-4c64-8ff8-827a6cff7be1,Rongchao Center,荣超商务中心,Shenzhen,22.544188432,114.055533817,广东省深圳市福田区益田路6003号荣超商务中心A座3层、B座4层,福田区,2019-07-01,"[
  {
    ""description"": ""With years of operational expertise and service-focused backgrounds, our workplace team is here 9am-5pm, Mon-Fri, to provide everything you need to keep your office running smoothly."",
    ""highlight"": false,
    ""id"": ""d90ae328-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Onsite staff""
  },
  {
    ""description"": ""Around the clock, our cleaning crew helps keep common areas, meeting rooms, and private offices looking their spiffiest."",
    ""highlight"": false,
    ""id"": ""d90202c6-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Cleaning services""
  },
  {
    ""description"": ""These semi-private alcoves provide comfortable sanctuaries on every floor for conducting private calls and video chats."",
    ""highlight"": false,
    ""id"": ""d9109cd2-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Phone booths""
  },
  {
    ""description"": ""Every floor has its own space stocked with a business-class printer, office supplies, and paper shredder."",
    ""highlight"": false,
    ""id"": ""d91e6fb0-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Business-class printers""
  },
  {
    ""description"": ""Hook yourself up to hard-wired Ethernet or secure Wi-Fi, including IT support and guest log-in functionality."",
    ""highlight"": false,
    ""id"": ""d9083c72-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""High-speed Wi-Fi""
  },
  {
    ""description"": ""From workshops to thought-leader panels and cheese tastings, our programming helps you nurture a strong team culture."",
    ""highlight"": false,
    ""id"": ""d8fd5b04-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Professional & social events""
  },
  {
    ""description"": ""The heart-and-soul of our locations, these lounges are living-room-style spaces designed for creativity, comfort, and productivity."",
    ""highlight"": false,
    ""id"": ""d90ca258-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Unique common areas""
  },
  {
    ""description"": ""From brainstorming rooms with whiteboards and high-top tables to conversation rooms for informal meetings to presentation rooms with projectors and speakers, to specialty rooms, we've got you covered."",
    ""highlight"": false,
    ""id"": ""07baafaa-fa62-11e9-b98c-126755c38a10"",
    ""name"": ""Meeting rooms""
  },
  {
    ""description"": ""Stay caffeinated with free micro-roasted coffee, tea, and keep your hydration up with refreshing fruit water at every WeWork location."",
    ""highlight"": false,
    ""id"": ""a860e146-fa5c-11e9-9a05-126755c38a10"",
    ""name"": ""Complimentary refreshments""
  }
]"
f69878fe-87e0-425c-bd00-84fc6cce445d,Ciyunsi,慈云寺,Beijing,39.91335,116.48534,北京市朝阳区东四环中路56号远洋国际中心A座6层,朝阳区,2017-05-02,"[
  {
    ""description"": ""With years of operational expertise and service-focused backgrounds, our workplace team is here 9am-5pm, Mon-Fri, to provide everything you need to keep your office running smoothly."",
    ""highlight"": false,
    ""id"": ""d90ae328-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Onsite staff""
  },
  {
    ""description"": ""Around the clock, our cleaning crew helps keep common areas, meeting rooms, and private offices looking their spiffiest."",
    ""highlight"": false,
    ""id"": ""d90202c6-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Cleaning services""
  },
  {
    ""description"": ""These semi-private alcoves provide comfortable sanctuaries on every floor for conducting private calls and video chats."",
    ""highlight"": false,
    ""id"": ""d9109cd2-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Phone booths""
  },
  {
    ""description"": ""Every floor has its own space stocked with a business-class printer, office supplies, and paper shredder."",
    ""highlight"": false,
    ""id"": ""d91e6fb0-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Business-class printers""
  },
  {
    ""description"": ""Hook yourself up to hard-wired Ethernet or secure Wi-Fi, including IT support and guest log-in functionality."",
    ""highlight"": false,
    ""id"": ""d9083c72-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""High-speed Wi-Fi""
  },
  {
    ""description"": ""From workshops to thought-leader panels and cheese tastings, our programming helps you nurture a strong team culture."",
    ""highlight"": false,
    ""id"": ""d8fd5b04-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Professional & social events""
  },
  {
    ""description"": ""The heart-and-soul of our locations, these lounges are living-room-style spaces designed for creativity, comfort, and productivity."",
    ""highlight"": false,
    ""id"": ""d90ca258-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Unique common areas""
  },
  {
    ""description"": ""Whether you’re a nursing mother, need to pray, or looking to meditate, you can rely on this lockable, serene room."",
    ""highlight"": true,
    ""id"": ""3dc30a10-341e-11e6-a998-0a488af3e541"",
    ""name"": ""Wellness room""
  },
  {
    ""description"": ""Life’s too short to circle the block looking for a spot. Commute like a pro thanks to a vehicular home-away-from-home. Prices and rates vary by location. "",
    ""highlight"": true,
    ""id"": ""b37912a6-43b7-11e6-88c5-0a488af3e541"",
    ""name"": ""Parking""
  },
  {
    ""description"": ""Sometimes the only way to be productive is to take a break and let yourself play."",
    ""highlight"": true,
    ""id"": ""73f9b62c-a4ff-11e6-89a1-0a488af3e541"",
    ""name"": ""Recreational games""
  }
]"
196b43fc-443b-4283-8b17-dbaff85e3028,East Gongxiao Building,宫霄国际,Beijing,39.91917,116.44575,北京市朝阳区东大桥关东店28号宫霄国际2-3层 ,朝阳区,2019-01-01,"[
  {
    ""description"": ""With years of operational expertise and service-focused backgrounds, our workplace team is here 9am-5pm, Mon-Fri, to provide everything you need to keep your office running smoothly."",
    ""highlight"": false,
    ""id"": ""d90ae328-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Onsite staff""
  },
  {
    ""description"": ""Around the clock, our cleaning crew helps keep common areas, meeting rooms, and private offices looking their spiffiest."",
    ""highlight"": false,
    ""id"": ""d90202c6-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Cleaning services""
  },
  {
    ""description"": ""These semi-private alcoves provide comfortable sanctuaries on every floor for conducting private calls and video chats."",
    ""highlight"": false,
    ""id"": ""d9109cd2-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Phone booths""
  },
  {
    ""description"": ""Every floor has its own space stocked with a business-class printer, office supplies, and paper shredder."",
    ""highlight"": false,
    ""id"": ""d91e6fb0-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Business-class printers""
  },
  {
    ""description"": ""Hook yourself up to hard-wired Ethernet or secure Wi-Fi, including IT support and guest log-in functionality."",
    ""highlight"": false,
    ""id"": ""d9083c72-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""High-speed Wi-Fi""
  },
  {
    ""description"": ""From workshops to thought-leader panels and cheese tastings, our programming helps you nurture a strong team culture."",
    ""highlight"": false,
    ""id"": ""d8fd5b04-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Professional & social events""
  },
  {
    ""description"": ""The heart-and-soul of our locations, these lounges are living-room-style spaces designed for creativity, comfort, and productivity."",
    ""highlight"": false,
    ""id"": ""d90ca258-1eb4-11e6-b3e6-0a488af3e541"",
    ""name"": ""Unique common areas""
  },
  {
    ""description"": ""From brainstorming rooms with whiteboards and high-top tables to conversation rooms for informal meetings to presentation rooms with projectors and speakers, to specialty rooms, we've got you covered."",
    ""highlight"": false,
    ""id"": ""07baafaa-fa62-11e9-b98c-126755c38a10"",
    ""name"": ""Meeting rooms""
  },
  {
    ""description"": ""Stay caffeinated with free micro-roasted coffee, tea, and keep your hydration up with refreshing fruit water at every WeWork location."",
    ""highlight"": false,
    ""id"": ""a860e146-fa5c-11e9-9a05-126755c38a10"",
    ""name"": ""Complimentary refreshments""
  }
]"
